,0
0,2
1,5
2,1
3,11
4,22
5,17
6,42
7,10
8,11
9,11
10,17
11,22
12,14
13,17
14,5
15,26
16,14
17,23
18,5
19,2
20,15
21,25
22,38
23,8
24,22
25,26
26,30
27,30
28,1
29,3
30,14
31,2
32,38
33,2
34,2
35,37
36,37
37,2
38,2
39,42
40,4
41,17
42,18
43,2
44,7
45,11
46,17
47,12
48,11
49,12
50,25
51,3
52,35
53,26
54,38
55,25
56,5
57,12
58,13
59,13
60,41
61,38
62,7
63,9
64,40
65,10
66,13
67,10
68,16
69,30
70,38
71,2
72,28
73,1
74,5
75,11
76,10
77,13
78,34
79,22
80,1
81,26
82,40
83,8
84,22
85,10
86,2
87,1
88,9
89,11
90,8
91,5
92,11
93,13
94,10
95,12
96,16
97,26
98,16
99,4
100,14
101,35
102,2
103,5
104,17
105,11
106,12
107,7
108,10
109,23
110,21
111,1
112,8
113,3
114,7
115,12
116,2
117,23
118,35
119,14
120,13
121,11
122,11
123,5
124,1
125,16
126,10
127,9
128,5
129,17
130,5
131,12
132,13
133,7
134,5
135,5
136,9
137,25
138,10
139,3
140,9
141,29
142,2
143,2
144,14
145,7
146,15
147,2
148,38
149,33
150,35
151,31
152,9
153,25
154,5
155,25
156,38
157,2
158,11
159,7
160,12
161,38
162,12
163,26
164,1
165,2
166,11
167,25
168,9
169,39
170,1
171,12
172,12
173,18
174,9
175,9
176,33
177,10
178,7
179,24
180,5
181,9
182,14
183,21
184,17
185,7
186,10
187,39
188,9
189,2
190,35
191,19
192,8
193,20
194,10
195,13
196,35
197,4
198,35
199,31
200,12
201,4
202,4
203,13
204,21
205,3
206,25
207,7
208,5
209,8
210,33
211,20
212,9
213,18
214,12
215,3
216,3
217,28
218,10
219,9
220,1
221,10
222,18
223,9
224,5
225,38
226,38
227,9
228,30
229,25
230,14
231,31
232,7
233,22
234,23
235,5
236,4
237,14
238,8
239,39
240,15
241,1
242,12
243,18
244,33
245,18
246,25
247,1
248,8
249,1
250,30
251,15
252,2
253,1
254,17
255,8
256,40
257,35
258,34
259,8
260,5
261,10
262,4
263,28
264,26
265,2
266,22
267,10
268,2
269,3
270,25
271,13
272,41
273,10
274,42
275,2
276,12
277,0
278,9
279,21
280,19
281,11
282,38
283,21
284,1
285,11
286,7
287,39
288,2
289,7
290,13
291,0
292,9
293,35
294,18
295,31
296,38
297,22
298,9
299,33
300,40
301,29
302,10
303,4
304,15
