,0
0,32
1,11
2,4
3,12
4,9
5,28
6,9
7,1
8,28
9,9
10,12
11,23
12,25
13,35
14,3
15,18
16,22
17,19
18,38
19,30
20,17
21,29
22,3
23,16
24,1
25,8
26,38
27,31
28,1
29,33
30,14
31,10
32,1
33,25
34,1
35,11
36,1
37,13
38,5
39,24
40,33
41,12
42,8
43,2
44,38
45,3
46,13
47,12
48,34
49,9
50,23
51,10
52,33
53,3
54,12
55,17
56,9
57,11
58,28
59,3
60,35
61,17
62,15
63,30
64,13
65,7
66,5
67,5
68,41
69,30
70,35
71,22
72,25
73,33
74,5
75,10
76,17
77,31
78,38
79,7
80,4
81,29
82,1
83,19
84,5
85,15
86,6
87,2
88,23
89,4
90,8
91,16
92,2
93,10
94,15
95,11
96,31
97,1
98,35
99,6
100,15
101,26
102,30
103,29
104,22
105,26
106,18
107,9
108,2
109,7
110,35
111,4
112,11
113,9
114,18
115,5
116,5
117,2
118,12
119,11
120,2
121,2
122,6
123,5
124,7
125,23
126,31
127,13
128,31
129,25
130,5
131,35
132,11
133,16
134,13
135,13
136,12
137,40
138,2
139,38
140,18
141,19
142,35
143,17
144,1
145,2
146,11
147,10
148,2
149,36
150,12
151,20
152,35
153,22
154,23
155,28
156,30
157,4
158,2
159,38
160,8
161,5
162,29
163,14
164,38
165,11
166,38
167,1
168,10
169,34
170,2
171,35
172,11
173,18
174,3
175,4
176,5
177,20
178,35
179,7
180,30
181,0
182,8
183,13
184,38
185,5
186,12
187,4
188,23
189,9
190,8
191,4
192,12
193,31
194,17
195,25
196,42
197,34
198,2
199,25
200,8
201,33
202,7
203,9
204,11
205,1
206,5
207,10
208,15
209,12
210,23
211,31
212,5
213,9
214,17
215,25
216,22
217,38
218,15
219,23
220,23
221,2
222,2
223,13
224,1
225,10
226,9
227,15
228,18
229,28
230,38
231,7
232,1
233,5
234,14
235,2
236,3
237,41
238,20
239,1
240,37
241,38
242,10
243,5
244,37
245,19
246,41
247,25
248,1
249,10
250,8
251,7
252,13
253,1
254,7
255,5
256,13
257,4
258,7
259,18
260,10
261,14
262,1
263,35
264,18
265,25
266,2
267,2
268,4
269,25
270,8
271,31
272,2
273,10
274,2
275,13
276,39
277,13
278,12
279,22
280,6
281,36
282,16
283,11
284,21
285,16
286,8
287,12
288,18
289,14
290,9
291,1
292,9
293,32
294,4
295,5
296,28
297,8
298,1
299,38
300,16
301,4
302,7
303,38
304,9
305,13
306,27
307,13
308,17
309,11
310,4
311,4
312,2
313,13
314,13
315,36
316,13
317,26
318,13
319,19
320,22
321,7
322,32
323,1
324,5
325,16
326,5
327,33
328,24
329,12
330,31
331,8
332,18
333,15
334,30
335,11
336,39
337,8
338,21
339,9
340,3
341,25
342,8
343,4
344,3
345,25
346,26
347,5
348,3
349,12
350,8
351,10
352,31
353,12
354,17
355,24
356,40
357,5
358,26
359,40
360,11
361,21
362,1
363,39
364,35
365,38
366,24
367,13
368,19
369,12
370,7
371,36
372,15
373,1
374,10
375,8
376,2
377,7
378,13
379,25
380,13
381,12
382,16
383,32
384,7
385,38
386,22
387,34
388,35
389,7
390,39
391,42
392,40
393,18
394,4
395,35
396,1
397,38
398,10
399,10
400,35
401,12
402,36
403,12
404,3
405,8
406,14
407,10
408,8
409,10
410,1
411,33
412,18
413,2
414,7
415,4
416,31
417,12
418,1
419,1
420,3
421,32
422,2
423,9
424,35
425,7
426,12
427,18
428,35
429,38
430,5
431,1
432,34
433,4
434,12
435,8
436,38
437,31
438,26
439,25
440,10
441,2
442,1
443,7
444,10
445,5
446,39
447,25
448,35
449,23
450,9
451,6
452,13
453,35
454,25
455,2
456,10
457,12
458,11
459,26
460,25
461,36
462,8
463,10
464,10
465,34
466,36
467,10
468,28
469,3
470,26
471,14
472,17
473,17
474,19
475,2
476,13
477,3
478,5
479,2
480,29
481,10
482,16
483,13
484,1
485,18
486,14
487,13
488,17
489,8
490,1
491,23
492,7
493,24
494,36
495,11
496,36
497,1
498,17
499,4
500,39
501,8
502,14
503,15
504,10
505,1
506,31
507,1
508,41
509,32
510,4
511,0
512,24
513,2
514,11
515,10
516,29
517,42
518,29
519,10
520,35
521,2
522,10
523,11
524,4
525,29
526,3
527,4
528,11
529,32
530,8
531,7
532,11
533,34
534,3
535,14
536,38
537,8
538,42
539,17
540,33
541,10
542,33
543,38
544,19
545,35
546,20
547,26
548,1
549,22
550,2
551,11
552,13
553,12
554,4
555,5
556,18
557,25
558,32
559,13
560,8
561,34
562,1
563,14
564,4
565,22
566,14
567,23
568,2
569,12
570,15
571,5
572,25
573,27
574,17
575,10
576,4
577,12
578,11
579,15
580,28
581,41
582,9
583,11
584,12
585,27
586,2
587,35
588,8
589,28
590,25
591,38
592,18
593,22
594,35
595,7
596,14
597,2
598,8
599,1
600,12
601,18
602,26
603,3
604,2
605,40
606,1
607,38
608,25
609,4
610,29
611,2
612,5
613,15
614,31
615,23
616,32
617,9
618,1
619,10
620,1
621,38
622,9
623,37
624,11
625,16
626,3
627,35
628,38
629,38
630,1
631,23
632,6
633,12
634,12
635,25
636,9
637,2
638,26
639,29
640,11
641,18
642,7
643,17
644,14
645,5
646,31
647,38
648,9
649,28
650,4
651,1
652,38
653,1
654,31
655,25
656,25
657,8
658,12
659,13
660,13
661,13
662,2
663,3
664,7
665,35
666,35
667,5
668,23
669,7
670,35
671,38
672,38
673,20
674,25
675,9
676,0
677,21
678,18
679,10
680,25
681,38
682,13
683,25
684,12
685,25
686,12
687,8
688,41
689,9
690,20
691,13
692,5
693,15
694,25
695,12
696,1
697,1
698,32
699,40
700,3
701,8
702,33
703,13
704,38
705,3
706,28
707,17
708,30
709,32
710,2
711,15
712,4
713,2
714,5
715,11
716,30
717,38
718,9
719,24
720,28
721,28
722,23
723,34
724,12
725,2
726,17
727,16
728,12
729,21
730,2
731,7
732,10
733,3
734,35
735,2
736,17
737,8
738,13
739,12
740,1
741,1
742,15
743,10
744,15
745,35
746,10
747,17
748,20
749,3
750,15
751,25
752,25
753,3
754,10
755,10
756,10
757,2
758,3
759,12
760,25
761,2
762,33
763,2
764,24
765,12
766,18
767,2
768,36
769,10
770,1
771,10
772,17
773,26
774,37
775,35
776,33
777,14
778,7
779,13
780,18
781,8
782,9
783,5
784,25
785,14
786,5
787,41
788,38
789,25
790,5
791,25
792,2
793,2
794,13
795,7
796,23
797,5
798,6
799,8
800,12
801,31
802,5
803,15
804,11
805,25
806,33
807,33
808,33
809,12
810,1
811,15
812,13
813,33
814,25
815,38
816,1
817,17
818,4
819,2
820,17
821,2
822,9
823,3
824,13
825,18
826,12
827,12
828,4
829,26
830,23
831,14
832,25
833,8
834,13
835,38
836,2
837,5
838,31
839,3
840,31
841,20
842,12
843,25
844,25
845,4
846,8
847,38
848,38
849,33
850,35
851,2
852,8
853,21
854,18
855,39
856,34
857,8
858,15
859,25
860,28
861,1
862,11
863,38
864,13
865,12
866,20
867,18
868,8
869,6
870,7
871,2
872,35
873,31
874,39
875,10
876,11
877,12
878,13
879,21
880,11
881,3
882,22
883,2
884,38
885,3
886,1
887,18
888,13
889,17
890,33
891,1
892,18
893,9
894,1
895,5
896,14
897,2
898,15
899,38
900,9
901,12
902,14
903,3
904,12
905,6
906,17
907,1
908,8
909,35
910,0
911,12
912,9
913,16
914,5
915,26
916,17
917,8
918,38
919,3
920,38
921,13
922,37
923,9
924,0
925,4
926,4
927,9
928,6
929,1
930,38
931,6
932,2
933,13
934,23
935,2
936,40
937,2
938,38
939,5
940,1
941,2
942,13
943,14
944,8
945,42
946,5
947,2
948,16
949,40
950,2
951,13
952,5
953,8
954,4
955,1
956,41
957,12
958,11
959,8
960,30
961,1
962,5
963,3
964,13
965,13
966,11
967,12
968,39
969,13
970,18
971,18
972,18
973,17
974,34
975,2
976,15
977,11
978,4
979,10
980,10
981,13
982,3
983,38
984,36
985,33
986,7
987,12
988,13
989,38
990,41
991,13
992,25
993,7
994,2
995,17
996,35
997,17
998,26
999,5
1000,1
1001,28
1002,1
1003,4
1004,30
1005,25
1006,1
1007,17
1008,17
1009,34
1010,7
1011,18
1012,5
1013,4
1014,31
1015,22
1016,3
1017,3
1018,42
1019,1
1020,6
1021,26
1022,38
1023,5
1024,11
1025,17
1026,25
1027,6
1028,2
1029,10
1030,5
1031,11
1032,23
1033,2
1034,12
1035,28
1036,11
1037,5
1038,8
1039,38
1040,40
1041,36
1042,4
1043,13
1044,27
1045,5
1046,12
1047,33
1048,11
1049,35
1050,42
1051,17
1052,8
1053,17
1054,38
1055,17
1056,12
1057,20
1058,31
1059,12
1060,41
1061,5
1062,38
1063,35
1064,12
1065,12
1066,2
1067,5
1068,5
1069,5
1070,15
1071,10
1072,0
1073,8
1074,22
1075,32
1076,2
1077,17
1078,4
1079,38
1080,36
1081,4
1082,1
1083,1
1084,13
1085,18
1086,7
1087,4
1088,35
1089,7
1090,14
