,0
0,10
1,4
2,4
3,7
4,14
5,10
6,32
7,11
8,4
9,1
10,3
11,38
12,17
13,14
14,8
15,12
16,5
17,13
18,2
19,18
20,30
21,2
22,4
23,4
24,12
25,28
26,36
27,10
28,23
29,17
30,41
31,28
32,7
33,28
34,12
35,2
36,3
37,15
38,12
39,4
40,10
41,38
42,10
43,7
44,25
45,38
46,2
47,8
48,5
49,2
50,7
51,2
52,5
53,31
54,11
55,1
56,13
57,28
58,10
59,2
60,10
61,38
62,2
63,3
64,2
65,13
66,10
67,9
68,31
69,11
70,1
71,9
72,33
73,19
74,36
75,38
76,10
77,7
78,17
79,10
80,17
81,1
82,34
83,2
84,4
85,28
86,2
87,10
88,24
89,12
90,8
91,21
92,12
93,17
94,8
95,16
96,11
97,4
98,8
99,13
100,8
101,35
102,35
103,12
104,11
105,10
106,36
107,33
108,10
109,15
110,10
111,15
112,19
113,1
114,0
115,35
116,18
117,3
118,10
119,11
120,16
121,10
122,33
123,29
124,11
125,8
126,8
127,12
128,13
129,39
130,2
131,42
132,38
133,33
134,12
135,10
136,28
137,5
138,37
139,1
140,13
141,13
142,15
143,16
144,4
145,9
146,4
147,7
148,37
149,4
150,1
151,15
152,1
153,7
154,5
155,25
156,9
157,1
158,13
159,17
160,38
161,26
162,2
163,1
164,37
165,13
166,33
167,30
168,16
169,4
170,38
171,12
172,11
173,2
174,17
175,3
176,12
177,38
178,5
179,25
180,18
181,11
182,25
183,10
184,10
185,12
186,31
187,38
188,11
189,38
190,22
191,26
192,14
193,13
194,7
195,5
196,31
197,25
198,10
199,40
200,38
201,23
202,9
203,8
204,5
205,31
206,25
207,23
208,7
209,12
210,2
211,1
212,7
213,12
214,3
215,1
216,38
217,38
218,1
219,7
220,4
221,25
222,38
223,23
224,25
225,11
226,4
227,38
228,14
229,3
230,14
231,8
232,38
233,8
234,25
235,38
236,25
237,2
238,12
239,1
240,5
241,5
242,28
243,0
244,30
245,13
246,4
247,18
248,33
249,4
250,25
251,35
252,35
253,14
254,18
255,17
256,13
257,13
258,3
259,38
260,26
261,31
262,2
263,17
264,37
265,36
266,1
267,23
268,25
269,28
270,13
271,14
272,2
273,12
274,9
275,29
276,14
277,4
278,2
279,9
280,38
281,17
282,16
283,15
284,35
285,16
286,18
287,39
288,15
289,24
290,35
291,20
292,14
293,17
294,12
295,2
296,4
297,8
298,7
299,2
300,25
301,7
302,11
303,13
304,11
305,12
306,2
307,42
308,13
309,33
310,11
311,38
312,5
313,14
314,25
315,10
316,4
317,11
318,14
319,42
320,38
321,14
322,11
323,4
324,12
325,23
326,41
327,1
328,13
329,9
330,14
331,36
332,27
333,38
334,1
335,12
336,11
337,25
338,4
339,1
340,9
341,7
342,8
343,2
344,38
345,1
346,17
347,10
348,2
349,35
350,11
351,14
352,25
353,34
354,17
355,9
356,26
357,7
358,11
359,19
360,33
361,13
362,17
363,33
364,3
365,15
366,18
367,4
368,2
369,4
370,12
371,34
372,13
373,7
374,8
375,12
376,8
377,29
378,17
379,33
380,7
381,25
382,11
383,17
384,24
385,15
386,9
387,12
388,9
389,9
390,33
391,2
392,25
393,2
394,31
395,33
396,9
397,1
398,14
399,2
400,7
401,22
402,38
403,15
404,2
405,15
406,3
407,4
408,33
409,12
410,10
411,10
412,8
413,2
414,33
415,11
416,11
417,11
418,25
419,13
420,28
421,19
422,12
423,26
424,13
425,8
426,23
427,10
428,5
429,10
430,7
431,42
432,9
433,2
434,25
435,13
436,26
437,31
438,3
439,8
440,35
441,29
442,33
443,11
444,15
445,35
446,30
447,17
448,13
449,9
450,11
451,41
452,5
453,14
454,13
455,33
456,14
457,31
458,10
459,21
460,38
461,19
462,36
463,5
464,7
465,18
466,2
467,22
468,12
469,7
470,18
471,25
472,42
473,35
474,8
475,5
476,10
477,18
478,12
479,25
480,18
481,13
482,3
483,10
484,12
485,8
486,11
487,31
488,10
489,38
490,12
491,35
492,12
493,17
494,10
495,1
496,14
497,11
498,19
499,35
500,31
501,38
502,18
503,26
504,4
505,33
506,25
507,1
508,17
509,33
510,25
511,42
512,3
513,25
514,13
515,35
516,17
517,2
518,8
519,18
520,33
521,4
522,11
523,13
524,35
525,29
526,13
527,7
528,40
529,25
530,8
531,1
532,25
533,35
534,33
535,38
536,38
537,8
538,1
539,7
540,1
541,21
542,25
543,11
544,5
545,25
546,4
547,2
548,12
549,33
550,5
551,36
552,38
553,7
554,11
555,17
556,40
557,25
558,20
559,18
560,38
561,18
562,4
563,11
564,5
565,5
566,38
567,12
568,12
569,9
570,9
571,12
572,15
573,2
574,11
575,1
576,31
577,17
578,35
579,1
580,11
581,12
582,11
583,2
584,11
585,12
586,3
587,16
588,12
589,14
590,11
591,2
592,33
593,6
594,35
595,8
596,8
597,4
598,4
599,30
600,16
601,12
602,25
603,13
604,38
605,12
606,10
607,5
608,2
609,11
610,3
611,11
612,1
613,2
614,13
615,38
616,34
617,29
618,4
619,28
620,38
621,13
622,26
623,25
624,34
625,3
626,30
627,36
628,36
